"0","n","v","c","f","a","e","y","g","m","s","r","w","b"
0,1.18990149955914e-06,1.26448421629105e-06,1.19032344831585e-06,0.00131531749895599,0.013818408415433,0.977392127182971,0.0012452650578558,0.00124478675203776,0.00124478675278592,0.00124482133143618,0.00124478681809983,0.00124478675767779,1.26872358217413e-06
0,8.60666957478633e-07,8.70112067602388e-07,8.60752689217331e-07,0.000906342538981892,0.00281499958262698,0.990906635918866,0.000894819758569176,0.000894746928442133,0.000894746928556011,0.000894752194017312,0.000894746938497565,0.000894746929300612,8.70750427807398e-07
0,6.59091848278196e-08,2.04404311907172e-06,1.05699296869791e-06,0.0018637783142166,0.0743217057184152,0.920593871478664,8.08663090529828e-05,8.06432315603382e-05,0.000113741165619167,0.000224979456721365,0.00243278618330513,0.00027963055909506,4.83063807709064e-06
0,1.61138323685342e-07,3.180011519748e-07,1.61396527228854e-07,0.000310790649021823,0.0409249222399282,0.936478385499379,0.000315776955648755,0.000315677705533555,0.00060680418391273,0.000562957574416563,0.0198382139996283,0.00060706905290805,3.87616036205103e-05
0,2.04061600056464e-07,2.04094847548399e-07,2.03927790026991e-07,0.000208845763692148,0.000250700281760154,0.684302055164586,0.00243592499061991,0.00243588230103343,0.00740364971556024,0.00665253032436726,0.288905756241414,0.00740383883964215,2.04293087256474e-07
0,1.04049575469123e-07,1.04056694972116e-07,1.04047185756514e-07,0.00010749824596778,0.000112964682155391,0.958616739984018,0.000229608366898278,0.000229606620202372,0.0122648982762711,0.0104449377837601,0.00572830219295014,0.012265027627796,1.0406652420072e-07
0,6.80409316264153e-08,6.80451478906017e-08,6.80398215996048e-08,7.09846302212573e-05,7.36268961591169e-05,0.983027254415495,0.000147631498868729,0.000147630626972482,0.000160254192710282,0.0133197995859913,0.00289229042998886,0.000160255547864608,6.80498273197754e-08
0,9.89435589398367e-08,9.89163083092148e-08,9.89227628358521e-08,0.00010223117670584,0.0001025709784393,0.871693199363887,0.000682400358018089,0.000682399911781492,0.000689203296122979,0.123271328174105,0.00208706702596943,0.000689203995379691,9.89369602619967e-08
0,9.69108491116107e-08,9.69130963986505e-08,9.69108709705744e-08,0.000100034224374371,0.000100955878805907,0.886522538481017,0.000308623041457739,0.000308622526716428,0.0552073842017792,0.000314890187612339,0.00192905196554905,0.0552075118435369,9.69143348286607e-08
0,4.25910208050222e-08,4.25925220677723e-08,4.25912199469365e-08,4.39034337127305e-05,4.41439924397162e-05,0.81436422063912,0.000383239128165319,0.000383238735387277,0.0913866095246514,0.000388012084149539,0.00161972245536754,0.0913867396395668,4.25926772687613e-08
0,3.69742452539735e-08,3.69545988980149e-08,3.69598550240356e-08,1.15872316881863e-05,1.15902322206502e-05,0.349955047630207,0.00106792929131431,0.00106792892647376,0.322298434609831,0.00107234220297204,0.0022164646281344,0.322298527389761,3.69686986199805e-08
0,2.33291222123181e-07,2.33301930406773e-07,2.33296067570692e-07,0.000241138544201037,0.000241601171627754,0.997614371935554,0.000243704031007408,0.000243703942672927,0.000323978448453036,0.000244805703472268,0.000521784274089085,0.000323978761935356,2.33297766792358e-07
0,1.08466054086268e-07,1.22250085615692e-06,1.11304984045134e-07,0.00112492120298401,0.244537653506777,0.736495849211825,0.000300943070201639,0.000300929510264332,0.000302184950342159,0.000302010575797907,0.016046086554138,0.000302207145515513,0.000285772000259755
0,9.85004998515071e-10,9.88364217279716e-07,9.93360934946542e-10,1.99039734286436e-06,0.503938810144283,0.000111339956740064,3.43691729386547e-09,3.43686667754666e-09,3.44364757686712e-09,3.4427262370642e-09,2.39734197270762e-08,3.44380191213209e-09,0.495946827981672
0,2.21831575004723e-07,2.82139429890819e-07,2.2200059760043e-07,0.000284103506544234,0.0116909392676872,0.90911881588706,0.00116963842719637,0.00116962744058783,0.00117064914176481,0.00117050718727648,0.0730415843952325,0.00117066714776783,1.27416272803322e-05
0,1.07634908503078e-06,1.08106478277357e-06,1.0763708360005e-06,0.00110236346640681,0.00220328507916411,0.988303461006327,0.00112192971294694,0.00112192922240144,0.00112197602818177,0.00112196952896383,0.00277569008732984,0.00112197686131514,2.1852222589253e-06
0,3.90014431560113e-08,7.85287737686068e-06,3.90240639865744e-06,0.0061587670130892,0.224499767122773,0.767669622405567,4.51035729036691e-05,4.5067610505157e-05,4.50775543274735e-05,0.000447890906281519,0.000456472534624338,0.000619886701544554,5.50293165317473e-07
0,3.42698682371066e-07,7.83917058581216e-07,5.34739422665355e-07,0.000814153202893653,0.016919869963488,0.959750744036547,0.000440081900931203,0.000440057532087044,0.000440064267871852,0.00623688325850197,0.00624523327294996,0.00871086994602374,3.8126354230925e-07
0,1.93567010514874e-07,2.07114407778395e-07,1.99338034172904e-07,0.00021515450308405,0.000732848801987817,0.650033128878499,0.00139162795224235,0.00139162315657173,0.00139162448814508,0.100845813472436,0.100853849174012,0.143143534505227,1.95048342640765e-07
0,9.42972430562916e-07,9.45644581062503e-07,9.44161116458074e-07,0.000977392645539974,0.00108764306767283,0.979187353161056,0.00102200223826632,0.00102200182976593,0.00102200194464013,0.00467692164452495,0.00467730382720352,0.0063236036897148,9.43173487638328e-07
0,3.98403959501514e-07,3.98911506549193e-07,3.9863036023387e-07,0.000413017708325804,0.00043377023600517,0.994250597168587,0.000421248276970401,0.000421248200014488,0.000421248221656007,0.00110910047618126,0.00110917245283387,0.00141900286661122,3.98446988826699e-07
0,6.77692491633288e-08,6.80916705923602e-08,6.78240813424663e-08,6.35533423077531e-06,8.51324486414174e-06,0.120025576871381,0.00197078938677854,0.00197078658976684,0.00197078736372144,0.26049957923465,0.260507889766397,0.353039450504156,6.80190537747476e-08
0,4.93368675800351e-08,4.93341921047239e-08,4.932689346926e-08,1.24092693303552e-06,1.29662197190448e-06,0.0462057950089567,0.0013370009532704,0.00133699984956451,0.00133700015495409,0.450948459658335,0.450952631671875,0.0478793778125116,4.93436745919847e-08
0,2.33342079844484e-07,0.00697142672226959,0.00337749874743691,0.0161648211312656,0.81655347787822,0.156681698664504,1.17775720406934e-06,1.17758397801021e-06,1.17764659143193e-06,1.39290057365396e-06,1.41753154169482e-06,1.48492973747627e-06,0.000243015164598186
